,CL,NG,SI,PL,SB,HG,RR,LH,PA,HO,CUA,GC,CT,FC,KC,RS,C,S,W,O,UX
8-30,0.019633404282827567,,,,,,,,,,,,,,,,,,,,
8-31,0.019437347177823885,,,,,,,,,,,,,,,,,,,,
8-32,0.019081935767612173,,,,,,,,,,,,,,,,,,,,
8-33,0.018922799939191527,,,,,,,,,,,,,,,,,,,,
8-34,0.019046362874150118,,,,,,,,,,,,,,,,,,,,
9-10,0.012016703846592201,,,,,,,,,,,,,,,,,,,,
9-11,0.010970618368361999,,,,,,,,,,,,,,,,,,,,
9-12,0.009600829798430695,,,,,,,,,,,,,,,,,,,,
9-13,0.008759681802284354,,,,,,,,,,,,,,,,,,,,
9-14,0.008909245396981591,,,,,,,,,,,,,,,,,,,,
9-15,0.009622543290644024,,,,,,,,,,,,,,,,,,,,
9-16,0.010900785282718508,,,,,,,,,,,,,,,,,,,,
9-17,0.011907050758134578,,,,,,,,,,,,,,,,,,,,
9-18,0.012579487204335877,,,,,,,,,,,,,,,,,,,,
9-19,0.013319722120139373,,,,,,,,,,,,,,,,,,,,
9-20,0.014680030477533456,,,,,,,,,,,,,,,,,,,,
9-21,0.016001339042370846,,,,,,,,,,,,,,,,,,,,
9-22,0.016862317858167546,,,,,,,,,,,,,,,,,,,,
9-23,0.017447996546901906,,,,,,,,,,,,,,,,,,,,
9-24,0.017992478351032477,,,,,,,,,,,,,,,,,,,,
9-25,0.01831696533175898,,,,,,,,,,,,,,,,,,,,
9-26,0.01874424396732919,,,,,,,,,,,,,,,,,,,,
9-27,0.01910945502817472,,,,,,,,,,,,,,,,,,,,
9-28,0.019396280154072642,,,,,,,,,,,,,,,,,,,,
9-29,0.019364140954643824,,,,,,,,,,,,,,,,,,,,
9-30,0.01939920700006053,,,,,,,,,,,,,,,,,,,,
9-31,0.019282992618178764,,,,,,,,,,,,,,,,,,,,
9-32,0.01917874515727468,,,,,,,,,,,,,,,,,,,,
9-33,0.01916327840787504,,,,,,,,,,,,,,,,,,,,
9-34,0.01926276865758924,,,,,,,,,,,,,,,,,,,,
10-11,0.010394461307871417,,,,,,,,,,,,,,,,,,,,
10-12,0.009635669421962232,,,,,,,,,,,,,,,,,,,,
10-13,0.009356065009015492,,,,,,,,,,,,,,,,,,,,
10-14,0.009607036522988421,,,,,,,,,,,,,,,,,,,,
10-15,0.010364356910654838,,,,,,,,,,,,,,,,,,,,
10-16,0.011368961713039569,,,,,,,,,,,,,,,,,,,,
10-17,0.012345143835468286,,,,,,,,,,,,,,,,,,,,
10-18,0.012937391247368995,,,,,,,,,,,,,,,,,,,,
10-19,0.013783952269455405,,,,,,,,,,,,,,,,,,,,
10-20,0.014931771307192435,,,,,,,,,,,,,,,,,,,,
10-21,0.016317252815183095,,,,,,,,,,,,,,,,,,,,
10-22,0.0172714220257254,,,,,,,,,,,,,,,,,,,,
10-23,0.017826548917565736,,,,,,,,,,,,,,,,,,,,
10-24,0.018200826693938965,,,,,,,,,,,,,,,,,,,,
10-25,0.01844975661399331,,,,,,,,,,,,,,,,,,,,
10-26,0.018839053723002444,,,,,,,,,,,,,,,,,,,,
10-27,0.01908254731409456,,,,,,,,,,,,,,,,,,,,
10-28,0.019211813627512505,,,,,,,,,,,,,,,,,,,,
10-29,0.019178483284281102,,,,,,,,,,,,,,,,,,,,
10-30,0.019263871913474697,,,,,,,,,,,,,,,,,,,,
10-31,0.019349510784071093,,,,,,,,,,,,,,,,,,,,
10-32,0.01936790466810284,,,,,,,,,,,,,,,,,,,,
10-33,0.019345199454115426,,,,,,,,,,,,,,,,,,,,
10-34,0.019477865292992096,,,,,,,,,,,,,,,,,,,,
11-12,0.010077269755580614,,,,,,,,,,,,,,,,,,,,
11-13,0.009930086095329865,,,,,,,,,,,,,,,,,,,,
11-14,0.010270313299405961,,,,,,,,,,,,,,,,,,,,
11-15,0.010834217675608614,,,,,,,,,,,,,,,,,,,,
11-16,0.011812232634127486,,,,,,,,,,,,,,,,,,,,
11-17,0.01268666246021301,,,,,,,,,,,,,,,,,,,,
11-18,0.013391884325003463,,,,,,,,,,,,,,,,,,,,
11-19,0.014095085877011367,,,,,,,,,,,,,,,,,,,,
11-20,0.0153204975275255,,,,,,,,,,,,,,,,,,,,
11-21,0.01674214698513631,,,,,,,,,,,,,,,,,,,,
11-22,0.01763209816396964,,,,,,,,,,,,,,,,,,,,
11-23,0.018030926487461137,,,,,,,,,,,,,,,,,,,,
11-24,0.01833178586049891,,,,,,,,,,,,,,,,,,,,
11-25,0.01856246472404911,,,,,,,,,,,,,,,,,,,,
11-26,0.018838334471784745,,,,,,,,,,,,,,,,,,,,
11-27,0.01894146258500804,,,,,,,,,,,,,,,,,,,,
11-28,0.019055908756169786,,,,,,,,,,,,,,,,,,,,
11-29,0.019074370013891173,,,,,,,,,,,,,,,,,,,,
11-30,0.01932556978463097,,,,,,,,,,,,,,,,,,,,
11-31,0.019504836735139836,,,,,,,,,,,,,,,,,,,,
11-32,0.01951349995678485,,,,,,,,,,,,,,,,,,,,
11-33,0.01953226988001016,,,,,,,,,,,,,,,,,,,,
11-34,0.01993925239127707,,,,,,,,,,,,,,,,,,,,
12-13,0.01049480710281451,,,,,,,,,,,,,,,,,,,,
12-14,0.010700306367800725,,,,,,,,,,,,,,,,,,,,
12-15,0.011281776024322638,,,,,,,,,,,,,,,,,,,,
12-16,0.012166305669040816,,,,,,,,,,,,,,,,,,,,
12-17,0.013120501105812941,,,,,,,,,,,,,,,,,,,,
12-18,0.013707623477107944,,,,,,,,,,,,,,,,,,,,
12-19,0.014524218093617482,,,,,,,,,,,,,,,,,,,,
12-20,0.01579938405398626,,,,,,,,,,,,,,,,,,,,
12-21,0.017119680403499562,,,,,,,,,,,,,,,,,,,,
12-22,0.017835580201265605,,,,,,,,,,,,,,,,,,,,
12-23,0.018164836030519643,,,,,,,,,,,,,,,,,,,,
12-24,0.018444633094269546,,,,,,,,,,,,,,,,,,,,
12-25,0.018584139857533547,,,,,,,,,,,,,,,,,,,,
12-26,0.018728007983067736,,,,,,,,,,,,,,,,,,,,
12-27,0.01881947688604818,,,,,,,,,,,,,,,,,,,,
12-28,0.018970007905364468,,,,,,,,,,,,,,,,,,,,
12-29,0.019146089273097328,,,,,,,,,,,,,,,,,,,,
12-30,0.019469310547982753,,,,,,,,,,,,,,,,,,,,
12-31,0.01962604269830248,,,,,,,,,,,,,,,,,,,,
12-32,0.019669876860905575,,,,,,,,,,,,,,,,,,,,
12-33,0.01994897097120334,,,,,,,,,,,,,,,,,,,,
12-34,0.020381246340955967,,,,,,,,,,,,,,,,,,,,
13-14,0.011116765714271056,,,,,,,,,,,,,,,,,,,,
13-15,0.011646438166994438,,,,,,,,,,,,,,,,,,,,
13-16,0.012605205602747993,,,,,,,,,,,,,,,,,,,,
13-17,0.01342979925045514,,,,,,,,,,,,,,,,,,,,
13-18,0.014132586683541132,,,,,,,,,,,,,,,,,,,,
13-19,0.015032213481242175,,,,,,,,,,,,,,,,,,,,
13-20,0.01622564359640774,,,,,,,,,,,,,,,,,,,,
13-21,0.017347806842312172,,,,,,,,,,,,,,,,,,,,
13-22,0.01797394894742675,,,,,,,,,,,,,,,,,,,,
13-23,0.018281558901007307,,,,,,,,,,,,,,,,,,,,
13-24,0.018473286033370815,,,,,,,,,,,,,,,,,,,,
13-25,0.0185005858179958,,,,,,,,,,,,,,,,,,,,
13-26,0.01863064335102753,,,,,,,,,,,,,,,,,,,,
13-27,0.0187572762262657,,,,,,,,,,,,,,,,,,,,
13-28,0.019043697210065078,,,,,,,,,,,,,,,,,,,,
13-29,0.019292191049581693,,,,,,,,,,,,,,,,,,,,
13-30,0.019583359048800302,,,,,,,,,,,,,,,,,,,,
13-31,0.01976091670671162,,,,,,,,,,,,,,,,,,,,
13-32,0.020041803652927365,,,,,,,,,,,,,,,,,,,,
13-33,0.02035481986296597,,,,,,,,,,,,,,,,,,,,
13-34,0.020681890599965686,,,,,,,,,,,,,,,,,,,,
14-15,0.012089824923113399,,,,,,,,,,,,,,,,,,,,
14-16,0.012927377987556369,,,,,,,,,,,,,,,,,,,,
14-17,0.013842182487725105,,,,,,,,,,,,,,,,,,,,
14-18,0.014632453766970444,,,,,,,,,,,,,,,,,,,,
14-19,0.015486872143271683,,,,,,,,,,,,,,,,,,,,
14-20,0.016503459693596775,,,,,,,,,,,,,,,,,,,,
14-21,0.017511319440690346,,,,,,,,,,,,,,,,,,,,
14-22,0.018095703631293026,,,,,,,,,,,,,,,,,,,,
14-23,0.018319336152956955,,,,,,,,,,,,,,,,,,,,
14-24,0.01840303254801086,,,,,,,,,,,,,,,,,,,,
14-25,0.01842526762775807,,,,,,,,,,,,,,,,,,,,
14-26,0.018585525707338544,,,,,,,,,,,,,,,,,,,,
14-27,0.01884033483735214,,,,,,,,,,,,,,,,,,,,
14-28,0.01918621608082263,,,,,,,,,,,,,,,,,,,,
14-29,0.01941031780008605,,,,,,,,,,,,,,,,,,,,
14-30,0.019711094580637065,,,,,,,,,,,,,,,,,,,,
14-31,0.02009811914475384,,,,,,,,,,,,,,,,,,,,
14-32,0.02041016076693707,,,,,,,,,,,,,,,,,,,,
